,Date,Price
0,1/1/70,74.25333333
1,2/1/70,69.97684211
2,3/1/70,72.15857143
3,4/1/70,74.25272727
4,5/1/70,66.6652381
5,6/1/70,67.59318182
6,7/1/70,72.69636364
7,8/1/70,76.14666667
8,9/1/70,80.46285714
9,10/1/70,84.69181818
10,11/1/70,86.3295
11,12/1/70,89.95818182
12,1/1/71,96.691
13,2/1/71,104.15
14,3/1/71,109.9430435
15,4/1/71,118.4804762
16,5/1/71,120.598
17,6/1/71,73.68272727
18,7/1/71,57.96666667
19,8/1/71,58.15545455
20,9/1/71,62.64380952
21,10/1/71,61.22761905
22,11/1/71,57.15095238
23,12/1/71,62.53
24,1/1/72,63.19809524
25,2/1/72,60.5085
26,3/1/72,63.35227273
27,4/1/72,68.0165
28,5/1/72,67.69136364
29,6/1/72,67.12863636
30,7/1/72,64.687
31,8/1/72,66.57956522
32,9/1/72,65.593
33,10/1/72,63.98318182
34,11/1/72,66.254
35,12/1/72,69.20210526
36,1/1/73,71.97428571
37,2/1/73,68.66842105
38,3/1/73,66.20863636
39,4/1/73,62.8195
40,5/1/73,59.30863636
41,6/1/73,58.49095238
42,7/1/73,59.88238095
43,8/1/73,60.12217391
44,9/1/73,60.30315789
45,10/1/73,65.94913043
46,11/1/73,64.06
47,12/1/73,60.2575
48,1/1/74,62.39454545
49,2/1/74,56.75315789
50,3/1/74,54.96571429
51,4/1/74,54.0252381
52,5/1/74,49.76409091
53,6/1/74,49.121
54,7/1/74,47.05909091
55,8/1/74,41.43454545
56,9/1/74,34.6455
57,10/1/74,35.63782609
58,11/1/74,36.8895
59,12/1/74,33.43761905
60,1/1/75,35.32136364
61,2/1/75,41.46947368
62,3/1/75,46.196
63,4/1/75,45.93954545
64,5/1/75,46.53857143
65,6/1/75,47.49666667
66,7/1/75,50.14454545
67,8/1/75,44.57380952
68,9/1/75,44.2752381
69,10/1/75,47.17608696
70,11/1/75,48.33210526
71,12/1/75,46.38772727
72,1/1/76,51.77619048
73,2/1/76,53.45684211
74,3/1/76,52.16565217
75,4/1/76,53.13333333
76,5/1/76,51.614
77,6/1/76,54.45636364
78,7/1/76,56.99047619
79,8/1/76,54.83227273
80,9/1/76,54.71
81,10/1/76,51.94809524
82,11/1/76,51.5335
83,12/1/76,52.62772727
84,1/1/77,53.60238095
85,2/1/77,51.13368421
86,3/1/77,50.79086957
87,4/1/77,51.5645
88,5/1/77,54.61571429
89,6/1/77,55.87772727
90,7/1/77,55.35842105
91,8/1/77,54.17043478
92,9/1/77,53.02619048
93,10/1/77,50.46714286
94,11/1/77,51.03857143
95,12/1/77,49.00238095
96,1/1/78,46.68761905
97,2/1/78,46.11368421
98,3/1/78,46.25772727
99,4/1/78,48.7965
100,5/1/78,52.42318182
101,6/1/78,51.86045455
102,7/1/78,52.133
103,8/1/78,55.61130435
104,9/1/78,53.384
105,10/1/78,51.33681818
106,11/1/78,48.69761905
107,12/1/78,47.696
108,1/1/79,49.17318182
109,2/1/79,46.96842105
110,3/1/79,47.48545455
111,4/1/79,48.2515
112,5/1/79,49.41772727
113,6/1/79,49.54380952
114,7/1/79,50.47238095
115,8/1/79,53.28565217
116,9/1/79,51.47631579
117,10/1/79,48.87217391
118,11/1/79,47.02047619
119,12/1/79,48.3595
120,1/1/80,53.47454545
121,2/1/80,53.1705
122,3/1/80,47.6152381
123,4/1/80,46.87714286
124,5/1/80,47.52666667
125,6/1/80,50.2752381
126,7/1/80,54.05318182
127,8/1/80,56.3047619
128,9/1/80,54.06238095
129,10/1/80,53.42695652
130,11/1/80,58.21777778
131,12/1/80,59.01318182
132,1/1/81,61.80571429
133,2/1/81,62.83
134,3/1/81,66.56
135,4/1/81,66.83142857
136,5/1/81,64.6425
137,6/1/81,65.35090909
138,7/1/81,61.15
139,8/1/81,58.49619048
140,9/1/81,54.23380952
141,10/1/81,55.40090909
142,11/1/81,56.659
143,12/1/81,58.79772727
144,1/1/82,58.102
145,2/1/82,61.54263158
146,3/1/82,61.1226087
147,4/1/82,64.35571429
148,5/1/82,63.35
149,6/1/82,61.70681818
150,7/1/82,66.61142857
151,8/1/82,67.89045455
152,9/1/82,76.09857143
153,10/1/82,82.14666667
154,11/1/82,89.7052381
155,12/1/82,95.03772727
156,1/1/83,95.75428571
157,2/1/83,103.3784211
158,3/1/83,104.9113043
159,4/1/83,108.1545
160,5/1/83,108.1352381
161,6/1/83,57.58227273
162,7/1/83,52.961
163,8/1/83,48.52956522
164,9/1/83,51.16809524
165,10/1/83,53.44142857
166,11/1/83,54.54380952
167,12/1/83,57.37047619
168,1/1/84,56.76428571
169,2/1/84,53.302
170,3/1/84,52.13318182
171,4/1/84,53.9155
172,5/1/84,53.985
173,6/1/84,53.14571429
174,7/1/84,50.69333333
175,8/1/84,57.04043478
176,9/1/84,56.64684211
177,10/1/84,55.95304348
178,11/1/84,57.24047619
179,12/1/84,55.5525
180,1/1/85,60.04727273
181,2/1/85,63.34368421
182,3/1/85,62.04952381
183,4/1/85,59.68714286
184,5/1/85,59.79818182
185,6/1/85,60.915
186,7/1/85,62.29772727
187,8/1/85,61.72363636
188,9/1/85,59.48947368
189,10/1/85,58.71434783
